NCAI,AIT,Aitutaki Airport,-18.8309,-159.764
NCAT,AIU,Enua Airport,-19.9678,-158.119
NCMG,MGS,Mangaia Airport,-21.896,-157.907
NCMH,MHX,Manihiki Island Airport,-10.3767,-161.002
NCMK,MUK,Mauke Airport,-20.1361,-157.345
NCMR,MOI,Mitiaro Airport (Nukuroa Airport),-19.8425,-157.703
NCPK,PZK,Pukapuka Island Airfield,-10.9145,-165.839
NCPY,PYE,Tongareva Airport,-9.01437,-158.032
NCRG,RAR,Rarotonga International Airport,-21.2027,-159.806
NFCI,ICI,Cicia Airport,-17.7433,-179.342
NFCS,CST,Castaway Island Seaplane Base,-17.7358,177.129
NFFN,NAN,Nadi International Airport,-17.7554,177.443
NFFO,PTF,Malolo Lailai Airport,-17.7779,177.197
NFFR,RBI,Rabi Airport,-16.5337,179.976
NFKD,KDV,Vunisea Airport,-19.0581,178.157
NFMA,MNF,Mana Island Airport,-17.6731,177.098
NFMO,MFJ,Moala Airport,-18.5667,179.951
NFNA,SUV,Nausori International Airport,-18.0433,178.559
NFNB,LEV,Levuka Airfield (Bureta Airport),-17.7111,178.759
NFND,PHR,Pacific Harbour Airport,-18.257,178.068
NFNG,NGI,Gau Airport,-18.1156,179.34
NFNH,LUC,Laucala Airport,-16.7481,-179.667
NFNK,LKB,Lakeba Airport,-18.1992,-178.817
NFNL,LBS,Labasa Airport,-16.4667,179.34
NFNM,TVU,Matei Airport,-16.6906,-179.877
NFNO,KXF,Koro Airport,-17.3458,179.422
NFNR,RTA,Rotuma Airport,-12.4825,177.071
NFNS,SVU,Savusavu Airport,-16.8028,179.341
NFNU,BVF,Dama Airport,-16.8598,178.623
NFNV,VAU,Vatukoula Airport,-17.5,177.842
NFNW,KAY,Wakaya Airport,-17.617,179.017
NFOL,ONU,Ono-i-Lau Airport,-20.6589,-178.741
NFSW,YAS,Yasawa Island Airport,-16.7589,177.545
NFTE,EUA,Eua Airport (Kaufana Airport),-21.3783,-174.958
NFTF,TBU,Fua'amotu International Airport,-21.2412,-175.15
NFTL,HPA,Lifuka Island Airport (Salote Pilolevu Airport),-19.777,-174.341
NFTO,NFO,Niuafo'ou Airport,-15.5708,-175.633
NFTP,NTT,Niuatoputapu Airport,-15.9773,-173.791
NFTV,VAV,Vava'u International Airport,-18.5853,-173.962
NFVB,VBV,Vanuabalavu Airport,-17.269,-178.976
NFVL,VTF,Vatulele Airport,-18.5125,177.639
NGAB,ABF,Abaiang Atoll Airport,1.79861,173.041
NGBR,BEZ,Beru Island Airport,-1.35472,176.007
NGFU,FUN,Funafuti International Airport,-8.525,179.196
NGKT,KUC,Kuria Airport,0.218611,173.442
NGMA,MNK,Maiana Airport,1.00361,173.031
NGMK,MZK,Marakei Airport,2.05861,173.271
NGMN,MTK,Makin Airport,3.37444,172.992
NGNU,NIG,Nikunau Airport,-1.31444,176.41
NGON,OOT,Onotoa Airport,-1.79611,175.526
NGTA,TRW,Bonriki International Airport,1.38164,173.147
NGTB,AEA,Abemama Atoll Airport,0.490833,173.829
NGTE,TBF,Tabiteuea North Airport,-1.22447,174.776
NGTM,TMN,Tamana Airport,-2.48583,175.97
NGTO,NON,Nonouti Airport,-0.639722,174.428
NGTR,AIS,Arorae Island Airport,-2.61611,176.803
NGTS,TSU,Tabiteuea South Airport,-1.47444,175.064
NGTU,BBG,Butaritari Atoll Airport,3.08583,172.811
NGUK,AAK,Aranuka Airport,0.185278,173.637
NIUE,IUE,Niue International Airport (Hanan Int'l),-19.079,-169.926
NLWF,FUT,Pointe Vele Airport,-14.3114,-178.066
NLWW,WLS,Hihifo Airport,-13.2383,-176.199
NSAS,OFU,Ofu Airport,-14.1844,-169.67
NSAU,AAU,Asau Airport,-13.5051,-172.628
NSFA,APW,Faleolo International Airport,-13.83,-172.008
NSFI,FGI,Fagali'i Airport,-13.8487,-171.74
NSFQ,FTI,Fitiuta Airport,-14.2172,-169.425
NSMA,MXS,Maota Airport,-13.7423,-172.258
NSTU,PPG,Pago Pago International Airport,-14.331,-170.71
NTAA,PPT,Fa'a'a International Airport,-17.5537,-149.607
NTAM,RMT,Rimatara Airport,-22.6373,-152.806
NTAR,RUR,Rurutu Airport,-22.4341,-151.361
NTAT,TUB,Tubuai - Mataura Airport,-23.3654,-149.524
NTAV,RVV,Raivavae Airport,-23.8852,-147.662
NTGA,AAA,Anaa Airport,-17.3526,-145.51
NTGB,FGU,Fangatau Airport,-15.8199,-140.887
NTGC,TIH,Tikehau Airport,-15.1196,-148.231
NTGD,APK,Apataki Airport,-15.5736,-146.415
NTGE,REA,Reao Airport,-18.4659,-136.44
NTGF,FAV,Fakarava Airport,-16.0541,-145.657
NTGH,HHZ,Hikueru Airport,-17.5447,-142.614
NTGI,XMH,Manihi Airport,-14.4368,-146.07
NTGJ,GMR,Totegegie Airport (Gambier Island Airport),-23.0799,-134.89
NTGK,KKR,Kaukura Airport,-15.6633,-146.885
NTGM,MKP,Makemo Airport,-16.5839,-143.658
NTGN,NAU,Napuka Airport,-14.1768,-141.267
NTGO,TKV,Tatakoto Airport,-17.3553,-138.445
NTGP,PKP,Puka-Puka Airport,-14.8095,-138.813
NTGQ,PUK,Pukarua Airport,-18.2956,-137.017
NTGT,TKP,Takapoto Airport,-14.7095,-145.246
NTGU,AXR,Arutua Airport,-15.2483,-146.617
NTGV,MVT,Mataiva Airport,-14.8681,-148.717
NTGW,NUK,Nukutavake Airport,-19.285,-138.772
NTGY,ZTA,Tureia Airport,-20.7897,-138.57
NTHE,AHE,Ahe Airport,-14.4281,-146.257
NTKA,KHZ,Kauehi Airport,-15.7808,-145.124
NTKF,FAC,Faaite Airport,-16.6867,-145.329
NTKH,FHZ,Fakahina Airport,-15.9922,-140.165
NTKK,RKA,Aratika-Nord Airport,-15.4853,-145.47
NTKM,TJN,Takume Airport,-15.8547,-142.268
NTKN,NIU,Niau Airport,-16.1191,-146.368
NTKO,RRR,Raroia Airport,-16.045,-142.477
NTKR,TKX,Takaroa Airport,-14.4558,-145.025
NTKT,KXU,Katiu Airport,-16.3394,-144.403
NTMD,NHV,Nuku Hiva Airport,-8.7956,-140.229
NTMN,AUQ,Atuona Airport,-9.76879,-139.011
NTMP,UAP,Ua Pou Airport,-9.35167,-140.078
NTMU,UAH,Ua Huka Airport,-8.93611,-139.552
NTTB,BOB,Bora Bora Airport (Motu Mute Airport),-16.4444,-151.751
NTTE,TTI,Tetiaroa Airport,-17.0133,-149.587
NTTG,RGI,Rangiroa Airport,-14.9543,-147.661
NTTH,HUH,Huahine - Fare Airport,-16.6872,-151.022
NTTM,MOZ,Moorea Airport (Temae Airport),-17.49,-149.762
NTTO,HOI,Hao Airport,-18.0748,-140.946
NTTP,MAU,Maupiti Airport,-16.4265,-152.244
NTTR,RFP,Raiatea Airport (Uturoa Airport),-16.7229,-151.466
NTTU,TPX,Tupai Airport,-16.2423,-151.834
NTTX,UOA,Mururoa Airport,-21.8586,-138.82
NTUV,VHZ,Vahitahi Airport,-18.78,-138.853
NVSA,MTV,Mota Lava Airport,-13.666,167.712
NVSC,SLH,Vanua Lava Airport,-13.8517,167.537
NVSD,TOH,Torres Airport,-13.328,166.638
NVSE,EAE,Siwo Airport,-17.0903,168.343
NVSF,CCV,Craig Cove Airport,-16.265,167.924
NVSG,LOD,Longana Airport,-15.3067,167.967
NVSH,SSR,Sara Airport,-15.4708,168.152
NVSI,PBJ,Paama Airport,-16.439,168.257
NVSL,LPM,Malekoula Airport (Lamap Airport),-16.4611,167.829
NVSM,LNB,Lamen Bay Airport,-16.5842,168.159
NVSN,MWF,Maewo-Naone Airport,-15,168.083
NVSO,LNE,Lonorore Airport,-15.8656,168.172
NVSP,NUS,Norsup Airport,-16.0797,167.401
NVSQ,ZGU,Gaua Airport,-14.2181,167.587
NVSR,RCL,Redcliffe Airport,-15.472,167.835
NVSS,SON,Santo-Pekoa International Airport,-15.505,167.22
NVST,TGH,Tongoa Airport,-16.8911,168.551
NVSU,ULB,Ulei Airport,-16.3297,168.301
NVSV,VLS,Valesdir Airport,-16.7961,168.177
NVSW,WLH,Walaha Airport,-15.412,167.691
NVSX,SWJ,South West Bay Airport,-16.4864,167.447
NVSZ,OLJ,Olpoi Airport (North West Santo Airport),-14.8817,166.558
NVVA,AUY,Anatom Airport,-20.2492,169.771
NVVB,AWD,Aniwa Airport,-19.2346,169.601
NVVD,DLY,Dillon's Bay Airport,-18.7694,169.001
NVVF,FTA,Futuna Airport,-19.5164,170.232
NVVI,IPA,Ipota Airport,-18.8564,169.283
NVVQ,UIQ,Quoin Hill Airfield,-17.54,168.442
NVVV,VLI,Bauerfield International Airport,-17.6993,168.32
NVVW,TAH,Whitegrass Airport,-19.4551,169.224
NWWA,TGJ,Tiga Airport,-21.0961,167.804
NWWC,BMY,Ile Art - Waala Airport,-19.7206,163.661
NWWD,KNQ,Kone Airport,-21.0543,164.837
NWWE,ILP,Ile des Pins Airport,-22.5889,167.456
NWWK,KOC,Koumac Airport,-20.5463,164.256
NWWL,LIF,Ouanaham Airport,-20.7748,167.24
NWWM,GEA,Noumea Magenta Airport,-22.2583,166.473
NWWP,PUV,Malabou Airport,-20.2892,164.099
NWWQ,PDC,Mueo/Nickel Airport,-21.3164,164.999
NWWR,MEE,Mare Airport,-21.4817,168.038
NWWU,TOU,Touho Airport,-20.79,165.259
NWWV,UVE,Ouvea Airport (Ouloup Airp,-20.6406,166.573
NWWW,NOU,La Tontouta International Airport,-22.0146,166.213
NZAA,AKL,Auckland Airport,-37.0081,174.792
NZAP,TUO,Taupo Airport,-38.7397,176.084
NZAR,AMZ,Ardmore Airport,-37.0297,174.973
NZAS,ASG,Ashburton Aerodrome,-43.9033,171.797
NZCH,CHC,Christchurch International Airport,-43.4894,172.532
NZCI,CHT,Chatham Islands / Tuuta Airport,-43.81,-176.457
NZCX,CMV,Coromandel Aerodrome,-36.7917,175.509
NZDA,DGR,Dargaville Aerodrome,-35.9397,173.894
NZDN,DUD,Dunedin International Airport,-45.9281,170.198
NZFF,,Forest Field Aerodrome,-43.3858,172.3605
NZGB,GBZ,Great Barrier Aerodrome,-36.2414,175.472
NZGM,GMN,Greymouth Airport,-42.4617,171.19
NZGS,GIS,Gisborne Airport,-38.6633,177.978
NZGT,GTN,Glentanner Aerodrome,-43.9067,170.128
NZHK,HKK,Hokitika Airport,-42.7136,170.985
NZHN,HLZ,Hamilton Airport,-37.8667,175.332
NZKE,WIK,Waiheke Island Aerodrome,-36.8089,175.086
NZKI,KBZ,Kaikoura Aerodrome,-42.425,173.605
NZKK,KKE,Kerikeri Airport (Bay of Islands Airport),-35.2628,173.912
NZKO,KKO,Kaikohe Aerodrome,-35.4511,173.817
NZKT,KAT,Kaitaia Airport,-35.07,173.285
NZLX,ALR,Alexandra Aerodrome,-45.2117,169.373
NZMA,MTA,Matamata Airport,-37.7344,175.742
NZMC,MON,Mount Cook Aerodrome,-43.765,170.133
NZMF,MFN,Milford Sound Airport,-44.6733,167.923
NZMK,MZP,Motueka Aerodrome,-41.1233,172.989
NZMO,TEU,Te Anau Airport (Manapouri Airport),-45.5331,167.65
NZMS,MRO,Hood Aerodrome,-40.9733,175.634
NZNP,NPL,New Plymouth Airport,-39.0086,174.179
NZNR,NPE,Hawke's Bay Airport,-39.4658,176.87
NZNS,NSN,Nelson Airport,-41.2983,173.221
NZNV,IVC,Invercargill Airport,-46.4124,168.313
NZOH,OHA,RNZAF Base Ohakea,-40.206,175.388
NZOU,OAM,Oamaru Airport,-44.97,171.082
NZPM,PMR,Palmerston North Airport,-40.3206,175.617
NZPN,PCN,Picton Aerodrome,-41.3461,173.956
NZPP,PPQ,Kapiti Coast Airport,-40.9047,174.989
NZQN,ZQN,Queenstown Airport,-45.0211,168.739
NZRA,RAG,Raglan Aerodrome,-37.8047,174.86
NZRC,SZS,Ryan's Creek Aerodrome,-46.8997,168.101
NZRO,ROT,Rotorua Regional Airport,-38.1092,176.317
NZRT,,Rangiora Airfield WMS,-43.2892,172.5413
NZTG,TRG,Tauranga Airport,-37.6719,176.196
NZTH,TMZ,Thames Aerodrome,-37.1567,175.55
NZTK,KTF,Takaka Aerodrome,-40.8133,172.775
NZTO,TKZ,Tokoroa Aerodrome,-38.2367,175.892
NZTU,TIU,Richard Pearse Airport,-44.3028,171.225
NZUK,TWZ,Pukaki Airport,-44.235,170.118
NZWB,BHE,Woodbourne Airport,-41.5183,173.87
NZWF,WKA,Wanaka Airport,-44.7222,169.246
NZWK,WHK,Whakatane Airport,-37.9206,176.914
NZWN,WLG,Wellington International Airport,-41.3272,174.805
NZWO,WIR,Wairoa Aerodrome,-39.0069,177.407
NZWR,WRE,Whangarei Airport,-35.7683,174.365
NZWS,WSZ,Westport Airport,-41.7381,171.581
NZWT,WTZ,Whitianga Aerodrome,-36.8317,175.679
NZWU,WAG,Whanganui Airport,-39.9622,175.025
